person_id,title,context,link,more
1,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Null,Null,
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,,,
1,"""Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid""",,,
2,The Two Fridas,,,
3,Why I Am Not a Christian,,,
4,The Birth of Venus,,,
5,The Picture of Dorian Gray,,,
6,Look Homeward,,,
7,Radio Silence,,,
8,Swan Lake,,,
8,The Nutcracker,,,
9,Wind's Songs,,,
10,Rule of Egypt,,,
11,The Republic,,,
12,Socratic Method,,,
13,Back to Black,,,
14,31-я весна (31st Spring),,,
15,The Goddess,,,
16,O Superman,,,
17,The Sea,,,
18,Modern Japan,,,
19,Pulp Fiction,,,
20,Kill Bill,,,
21,Slave to the Rhythm,Album,,